displaytitle,description,class
How to Polish Jewelry,Examine for loose prongs,21-30secs
How to Polish Jewelry,Rinse with warm water,21-30secs
How to Calculate Buoyancy,Collect and measure the water that spills over,1-10secs
How to Rid Yourself of a Bad Perm,Use a good deep conditioner,11-20secs
How to Have Perfect and Gorgeous Skin in Less Than 15 Minutes,Use a primer,11-20secs
How to Remove Hair Build up Naturally,Shampoo your hair,11-20secs
How to Clean Costume Jewelry,Find a workspace with good lighting,21-30secs
How to Travel While on Dialysis,Choose your accommodation,21-30secs
How to Feel Comfortable in a Swimsuit,Counter negative thoughts,41-50secs
How to Frost Hair,Put on your old t-shirt,31-40secs
How to Benefit from Your Reading,Look at your own habits and tendencies in light of what you read,51-60secs
How to Choose the Right Swimsuit (Guys),Choose a square leg,31-40secs
How to Grow Your Hair Out for Your Wedding Day,Use shampoos that promote hair growth,21-30secs
How to Grow Your Hair Out for Your Wedding Day,Massage the shampoo and conditioner into your scalp,31-40secs
How to Grow Your Hair Out for Your Wedding Day,Deep condition your hair every week,11-20secs
How to Make a Lava Lamp with Household Ingredients,Put the cap on and tip the bottle back and forth (optional),11-20secs
How to Make a Lava Lamp with Household Ingredients,Place a strong flashlight or searchlight under the bottle,11-20secs
How to Wear Combat Boots,Throw on a frilly blouse,21-30secs
How to Get an Awesome Hair Style,Go for air dry appeal,1-10secs
How to Put On Lotion,Pat yourself dry with a clean soft towel until you are damp,11-20secs
How to Put On Lotion,Apply lotion immediately,41-50secs
How to Put On Lotion,Let the lotion sink in,31-40secs
How to Reset an Heirloom Stone,Prepare your wire,11-20secs
How to Make a Coconut and Olive Oil Hair Mask for Dry or Damaged Hair,Pour the coconut oil in the bowl,31-40secs
How to Deal With Car Sickness,Prevent motion sickness-related nausea,41-50secs
How to Make a Honey and Mayonnaise Hair Mask,Pour 50mls of honey into a bowl,11-20secs
How to Make a Honey and Mayonnaise Hair Mask,Incorporate the 20mls of mayonnaise into the warm honey,31-40secs
How to Purify Your Skin Quickly,Wear a clay mask,1-10secs
How to Make Shamrock Cookies,Beat in the eggs and extract,41-50secs
How to Make Shamrock Cookies,Refrigerate your dough,21-30secs
How to Clean White Vans Shoes,Try rubbing alcohol,21-30secs
How to Get Radiant Skin,Drink plenty of water,31-40secs
How to Wash Your Hair,Thicken the volume of your hair if you have fine limp or oily hair,1-10secs
How to Reduce Arguments Between Your Kids,Spend one on one time with your kids,41-50secs
How to Make Your Own 3D Glasses,Create or reuse a pair of glasses frames,21-30secs
How to Make Your Own 3D Glasses,Use these glasses to view red and blue 3D images,11-20secs
How to Make Your Hands Soft Like a Baby,Soak your hands in egg yolks,21-30secs
How to Buy Handbags on eBay,Review the seller's feedback rating and comments,31-40secs
How to Teach Children Impulse Control,Teach self-monitoring,21-30secs
How to Stop Being Hyper,Avoid stimulants like caffeine,21-30secs
How to Tie a Skinny Tie,Place the tie around your neck,41-50secs
How to Undo a Knot in Your Hair,Divide your hair to isolate the knot,11-20secs
How to Remove Shellac Nail Polish,Apply cuticle oil to your cuticles,11-20secs
How to Get Clear Skin Fast,Try some honey or aloe vera,31-40secs
How to Get Clear Skin Fast,Try some turmeric,1-10secs
How to Wear Winter Whites,Swap out your fabrics,11-20secs
How to Make a High Ponytail,Tease the roots of the ponytail,31-40secs
How to Remove Old Nail Polish,Buy pure acetone,11-20secs
How to Help Your Child Help the Community,Visit the elderly,31-40secs
How to Wear a Pancha Kachcham,Tuck the fold into your waist at the back,11-20secs
How to Wear a Pancha Kachcham,Make the front fold,21-30secs
How to Dress Chic in Maternity Formal Wear,Try second hand or thrift stores,21-30secs
How to Choose the Right Makeup Products,Base your foundation on your skin type,31-40secs
How to Strengthen Your Nails,Don't use hot water when you wash your hands,41-50secs
How to Make Fake Nails Look Real,Avoid activities that are rough on your nails,31-40secs
How to Be an Attractive Woman,Be healthy,41-50secs
How to Tie a Bandana,Spray the headband with hairspray,11-20secs
How to Prepare a Wedding Ceremony when Your Fiance Is Blind,Include braille on signs and placards,51-60secs
How to Create a Woven Ponytail,Divide your hair into three sections,21-30secs
How to Create a Woven Ponytail,Add more elastics as necessary,41-50secs
How to Make a Braided Bun,Tie your hair in a ponytail,11-20secs
How to Complement Your Outfit With the Right Shoes,Stay neutral,1-10secs
How to Complement Your Outfit With the Right Shoes,Tone down a bright outfit with a neutral shoe,11-20secs
How to Create a Bubble Ponytail,Spritz a texturizing hairspray onto dry hair,31-40secs
How to Create a Bubble Ponytail,Gather your hair into a low ponytail,31-40secs
How to Accentuate Cleavage,Make an adhesive bra if you have a very petite bust,41-50secs
How to Accentuate Cleavage,Wear a push up bra for dramatic cleavage,21-30secs
How to Accentuate Cleavage,Wear plunging necklines,11-20secs
How to Come up With a Cool Nickname,Make sure the name is short and easy to remember,11-20secs
How to Come up With a Cool Nickname,Test out the name before using it in public,1-10secs
How to Improve Your Ability to Learn Quickly,Be aware of your strengths,21-30secs
How to Make a Permission Slip,Use a word-processing program on your computer,21-30secs
How to Show Commitment when You Don't Want a Wedding Ring,Reaffirm your love regularly,1-10secs
How to Install a Bluetooth Module (Not Adapter) in a Computer,Check to see what expansion ports you have on your motherboard,21-30secs
How to Install a Bluetooth Module (Not Adapter) in a Computer,Install the software only if needed,31-40secs
How to Use the Windows 10 Start Menu,Open the Start Menu,1-10secs
How to Use the Windows 10 Start Menu,Work with the menu column on left pane of the Start Menu,21-30secs
How to Make a Personal Wedding Ceremony Booklet,Provide basic information about the wedding,21-30secs
How to Set Up a FIOS Network with a Verizon DIY Self Install Kit,Locate the best place to put your Verizon router,11-20secs
How to Treat Flu in Toddlers,Make chicken soup,11-20secs
How to Tell if Your Teenage Daughter Is Pregnant,Prepare for a conversation,11-20secs
How to Pick a Great Slide and Photo Scanner,Check the picture quality,31-40secs
How to Pick a Great Slide and Photo Scanner,Assess velocity,21-30secs
How to Make a Veil,Stitch across the width of the veil near the fold gathering the material as you go,1-10secs
How to Measure Speaker Impedance,Connect the multimeter leads to the speaker terminals,31-40secs
How to Explain Autism to Children,Make the ground rules clear,21-30secs
How to Make Small Talk,Find common ground,1-10secs
How to Make a Girl Who Is Really Mad at You Forgive You,Apologize first and foremost,1-10secs
How to Add a Badge in Habbo Hotel,Go to any room you own,1-10secs
How to Add a Badge in Habbo Hotel,Look towards the left of the screen,21-30secs
How to Add a Badge in Habbo Hotel,Click on my stuff,21-30secs
How to Add a Badge in Habbo Hotel,Choose the badge you would like to display,31-40secs
How to Create Your Own Sims 2 Clothes,Go to start> all programs> Ea games> Sims 2(What ever your newest game is)> the Sims 2 body shop,31-40secs
How to Build Good Robots on Incredibots,Decide your goal,11-20secs
How to Complete the Family Heirloom Quest in Skyrim,Accept the quest,1-10secs
How to Play Well As Zerg in StarCraft,Scout early and often,31-40secs
How to Play Well As Zerg in StarCraft,Build up your macro,11-20secs
How to Play Well As Zerg in StarCraft,Upgrade your troops,11-20secs
How to Complete Site Phi in SOMA,Retrieve the ARK and restore power to the station,21-30secs
How to Put Up with an Annoying Cousin,Often people will realize that they are being annoying later,31-40secs
How to Make Fruit Juice in Harvest Moon: Friends of Mineral Town,Acquire the mixer.Get an apple.Have the apple in your rucksack,1-10secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Gather the ingredients needed to make the cookies,41-50secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Choose the utensils you need to use,31-40secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Choose your seasoning,31-40secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Confirm your counter decision,31-40secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Choose your ingredients,31-40secs
How to Make Chocolate Cookies in Harvest Moon: Friends of Mineral Town,Confirm your decision,1-10secs
How to Deal With Egomaniacs,Recognize toxic friendships,11-20secs
How to Sell Items in Brunelleschi: Age of Architects,Visit the Markets,21-30secs
How to Cope With Triplets,Get in a routine,11-20secs
How to Sync an Android Device with a PS,Turn on your TV and the PS4,11-20secs
How to Sync an Android Device with a PS,Go to Settings,31-40secs
How to Sync an Android Device with a PS,Add a device,51-60secs
How to Master Patapon for the PSP,Use chaka-chaka-pata-pon only when you know you will need Fever later on or when there are loads of Zigotons,41-50secs
How to Get More Money and LP on the Sims Freeplay,Download a replacement APK,21-30secs
How to Get Someone to Be Your Best Friend Again,Continue conversations,41-50secs
How to Answer the Phone Politely,Keep it professional,11-20secs
How to Download YouTube Videos Straight to Your PSP Without a Computer,Ensure that your PSP has the latest custom firmware installed,11-20secs
How to Handle a Newborn Baby,Wash your hands,11-20secs
How to Escape in the Game Escapists,Know the routines,31-40secs
How to Escape in the Game Escapists,Use your intellect,11-20secs
How to Escape in the Game Escapists,Look at things like walls fences ground and other things that may make your plan harder,21-30secs
How to Escape in the Game Escapists,Know which guard has which key,41-50secs
How to Escape in the Game Escapists,Don't use crafting notes,21-30secs
How to Be a Butch Lesbian,Go natural,41-50secs
How to Handle a Newborn Baby,Talk to your newborn,1-10secs
How to Handle a Newborn Baby,Try the five S's,11-20secs
How to Handle a Newborn Baby,Recognize colic,1-10secs
How to Know Why a Child (Under 2) Is Crying,Decode arm-tugging,11-20secs
How to Get a Rare Spike on Animal Jam,Check rare item Mondays,11-20secs
How to Come Out As Asexual (for Teenagers),Figure out your romantic orientation,1-10secs
How to Be Taken Seriously,Speak clearly,21-30secs
How to Start a Rampage in Grand Theft Auto IV,Load up on some guns or ammo,21-30secs
How to Get Over a Girl You Love,Talk to a safe confidant,11-20secs
How to Win More in Halo,Remember that when you die you are giving someone else a kill,21-30secs
How to Fake a Hickey,Add a small amount of alcohol onto a paint plate,31-40secs
How to Fake a Hickey,Apply the second paint layer,31-40secs
How to Participate in Off Road Races in GTA V,Travel to North Chumash for the first race,41-50secs
How to Raise Vegetarian Children,Consult a pediatrician,1-10secs
How to Race Well in Forza,Set your difficulty,21-30secs
How to Race Well in Forza,Practice cornering,1-10secs
How to Race Well in Forza,Use tricks to help your imperfect corner,21-30secs
How to Race Well in Forza,The best car for going round corners will be the American team Honda car buy it from the auction and it should come with adjustable parts,31-40secs
How to Sell Your Items on Moshi Monsters,Open your map,1-10secs
How to Break Up with Your Girlfriend over the Phone,Tell her you have something to talk about,1-10secs
How to Help Your Kids Feel Safe,Brainstorm the plans you need,21-30secs
How to Get a Baby to Sleep in a Crib,Begin the routine before you move baby to crib,31-40secs
How to Get a Baby to Sleep in a Crib,Sing a soothing song,11-20secs
How to Get Good at Quick Scoping and No Scoping on Call of Duty Black Ops,Practice your timing,31-40secs
How to Be Tolerant of Others,Value difference,41-50secs
How to Excel at Call of Duty: Black Ops,Experiment with all different types of guns and classes!,21-30secs
How to Become a New Generation Hippie,Use organic foods grown in your own garden,41-50secs
How to Feed Your Child a Balanced Diet,Prepare as much food in advance as possible,21-30secs
How to Know if Your Ex Misses You,Wait for the right moment,21-30secs
How to Know if Your Ex Misses You,Decide what to do next,21-30secs
How to Set Social Media Boundaries with a Babysitter,Discuss before you hire,41-50secs
How to Play with Children in the Church Nursery,Bring out the plush toys and dolls!,1-10secs
How to Help Your Child Make Friends,Model good behavior for your child,31-40secs
How to Help Your Child Make Friends,Foster empathy in your child,1-10secs
How to Help Your Child Make Friends,Talk to your child about good friend qualities,1-10secs
How to Help Your Child Make Friends,Teach your child about good conversation skills,11-20secs
How to Help Your Child Make Friends,Give your child advice about social interactions,31-40secs
How to Help Your Child Make Friends,Allow your child to go it alone sometimes,51-60secs
How to Support a Child with Bipolar Disorder,Take care of your own needs,41-50secs
How to Get All the Endings in Bioshock,Defeat the Big Daddies,21-30secs
How to Build a Rabbit Hutch,Create a frame for the cage to sit on,11-20secs
How to Make Stim Toys,Choose your case and decorations,41-50secs
How to Be Old Fashioned (for Girls),First decide which time period you want to stick with,31-40secs
How to Dress Like a Nerd as a Girl,Try suspenders,21-30secs
How to Dress Like a Nerd as a Girl,Select appropriate footwear,1-10secs
How to Dress Like a Nerd as a Girl,Try a button up shirt with high waisted shorts,31-40secs
How to Dress Like a Nerd as a Girl,Go for bright colors and mismatched patterns,21-30secs
How to Unlock Qr Codes in Animal Crossing New Leaf,Change the date,1-10secs
How to Get a Cape in Minecraft,Find an upcoming official Minecraft event,11-20secs
How to Lock and Unlock Cards for Trade in Star Wars: Card Trader,Launch Star Wars Card Trader,11-20secs
How to Connect Two TVs to Xbox,Stream video to Windows 10,11-20secs
How to Be a Cute Scene Girl,Adopt a new attitude,1-10secs
How to Clean an Xbox Game Disc,Get a non-bleaching toothpaste,21-30secs
How to Protect Yourself from 3D Fatigue,Have a basic understanding on why 3D technology can fatigue you,11-20secs
How to Treat Your Mother on Her Birthday,Help her with a project,11-20secs
How to Get Dog Smell Out of Your Car,Wash any removable parts of your car,11-20secs
How to Stop Social Media from Hurting Your Parenting,Limit your own screen time,31-40secs
How to Hide Entertainment Center Stereo (Surround Sound) & TV Wires,If wires must be visible try to ensure that they are not strewn across the floor getting in the way,21-30secs
How to Hide Entertainment Center Stereo (Surround Sound) & TV Wires,For thick cables letting them hang off the ground is a good option,11-20secs
How to Protect Pets from Mosquitoes,Apply a pet bug spray,51-60secs
How to Protect Pets from Mosquitoes,Consider lemon eucalyptus spray,11-20secs
How to Protect Pets from Mosquitoes,Consider a combination of soybean and geranium oils,11-20secs
How to Protect Pets from Mosquitoes,Try citrus,1-10secs
How to Protect Pets from Mosquitoes,Skip bug spray made for humans,11-20secs
How to Look Great on Your Wedding Day,Use a hired photographer,31-40secs
How to Look Great on Your Wedding Day,Smile for the camera,1-10secs
How to Keep Pets Safe from Cane Toads,Feed your pets indoors,1-10secs
How to Be a Good Lumberjack in Minecraft PE,Find a good spot to make a tree farm,11-20secs
How to Level Up Your Provisioning in Elder Scrolls Online,Hunt down ingredients for the recipe you want to make,31-40secs
How to Cope With Naked Neighbors,Accept it,1-10secs
How to Feed a Snake Frozen Food,Thaw the rodent in a bowl of warm water,11-20secs
How to Feed a Snake Frozen Food,Put the snake in its feeding area,21-30secs
How to Feed a Snake Frozen Food,Place the rodent in the area with the snake,31-40secs
How to Feed a Snake Frozen Food,If your snake is a picky eater or has not eaten dead food before you may have to work a little harder at it at first,11-20secs
How to Feed a Snake Frozen Food,Put the snake back in its enclosure and let it digest its meal in a warm dark area,1-10secs
How to Show Off Achievements in Need for Speed,Launch the game,11-20secs
How to Show Off Achievements in Need for Speed,View your achievements,21-30secs
How to Show Off Achievements in Need for Speed,Save the screenshot,11-20secs
How to Take Care of Mini Pet Turtles,Feed your turtle,31-40secs
How to Talk to Ex,Ask yourself why you want to talk to your ex,41-50secs
How to Trap a Rabbit,Choose a rabbit trap,11-20secs
How to Find Out if Your Friend Is a Liar,Start by quizzing your friend about their life,11-20secs
How to Find Out if Your Friend Is a Liar,Consider whether your friend is able to discern fact from reality,31-40secs
How to Find Out if Your Friend Is a Liar,Tell your friend nicely that you've been spotting inconsistencies,21-30secs
How to Find Out if Your Friend Is a Liar,Avoid playing the bad cop,1-10secs
How to Find Out if Your Friend Is a Liar,Consider moving on,21-30secs
How to Understand Different Sexual Identity Terms,Learn the terms,1-10secs
How to Farm Lantadyme in RuneScape,Acquire a level 73 farming,51-60secs
How to Feed Your Bunny Vitamins,Learn about vitamin deficiencies in bunnies,21-30secs
How to Choose an Alternative to a Flower Girl,Use a kid to carry your train,1-10secs
How to Make a Tomboy on the Sims 3 Without a Mod,Pick a hairstyle,31-40secs
How to Find President's Day Crafts,Buy paper painter's hats with bills on them,21-30secs
How to Have More Than One Husband or Wife on the Sims,Download a multiple-marriage mod,21-30secs
How to Have More Than One Husband or Wife on the Sims,Create an adult sim,11-20secs
How to Have More Than One Husband or Wife on the Sims,Have your sim meet other sims,21-30secs
How to Have More Than One Husband or Wife on the Sims,Once your sims are in love they can get married,21-30secs
How to Help Kids Recover from Teasing About Their Weight,Be open and approachable,11-20secs
How to Download Sims,Check your system specs,11-20secs
How to Cope with a Spouse That Travels for a Living,Embrace your alone-time,1-10secs
How to Cope with a Spouse That Travels for a Living,When together fall in love again and again,31-40secs
How to Get 99 Smithing on RuneScape,Levels 45-60,31-40secs
How to Get a Defender in RuneScape,Have access to the Warriors' Guild,51-60secs
How to Beat the Vampire Slayer Quest on RuneScape,Talk to Morgan in Draynor Village,31-40secs
How to Handle a New Relationship,Be yourself,1-10secs
How to Overcome Bad Moods,Stay active,31-40secs
How to Deal With Being in a Relationship With an Older Guy,Determine why you are choosing someone older as a relationship partner,11-20secs
How to Stop Being Jealous of Younger Women,Use positive self-talk,21-30secs
How to Make Peace in Your Community,Become more familiar with your community,21-30secs
How to Avoid Being a Nerd on RuneScape,Don't chat about real life,11-20secs
How to Avoid Being a Nerd on RuneScape,Don't be a noob,11-20secs
How to Avoid Being a Nerd on RuneScape,Do not engage in annoying activity,1-10secs
How to Avoid Weight Stigma,Be aware of your feelings,21-30secs
How to Cope With Insults,Decide what response if any is necessary,1-10secs
How to Cope With Insults,Ignore the insult,21-30secs
How to Get Rid of Pimples Inside the Ear,Wash your hands,41-50secs
How to Install Old PC Games on a New Computer,Follow manufacturer instructions if applicable,21-30secs
How to Make People Think You Are Confident,Understand how fear affects your confidence,11-20secs
How to Make People Think You Are Confident,Evaluate what you're afraid of,11-20secs
How to Not Get Mad at Someone Even Though You Really Want To,Give yourself a break,21-30secs
How to Have a Cute and Bubbly Personality,Learn to be kind to everyone,21-30secs
How to Get the Fun Out of Garry's Mod Online,Buy Garry's Mod 13 if you don't already own it,31-40secs
How to Get the Fun Out of Garry's Mod Online,Try to earn some of Garry's Mods Steam achievements,1-10secs
How to Remove Mercury from the Body,Continue a seafood elimination diet,51-60secs
How to Cope with Impulsive Aggression,Learn to recognize the signs of anger,11-20secs
How to Sell Soda at School,Save up some money to invest on soda,21-30secs
How to Believe in Yourself,Make a list of your past accomplishments,21-30secs
How to Reduce Stress While Renovating,Be realistic and set a budget,1-10secs
How to Reduce Stress While Renovating,Cope with the inevitable small hiccup with a philosophical mindset,11-20secs
How to Be Confident If You Have Acne,Find a support group,51-60secs
How to Eat Meat on a Lipid Lowering Diet,Include more heart healthy foods in your diet,31-40secs
How to Dance to Relieve Stress,Consider looking for a dance class,31-40secs
How to Adjust Ski Bindings,Check your binding type,21-30secs
How to Be Intimidating,Talk trash,41-50secs
How to Understand the Difference Between a Resume and a CV,Know that resumes and CVs are usually different lengths,11-20secs
How to Run for Longer,Take time to warm up and stretch out,1-10secs
How to Suppress Appetite,Avoid alcohol except wine,31-40secs
How to Lose Weight Safely,Track your meals in a food journal,11-20secs
How to Lose 20 Pounds in a Month,Start the cardio,31-40secs
How to Make Fake Earrings,Spread some glue over the back of two of the magnets,21-30secs
How to Make Fake Earrings,Press your two items into the glue flat side down,31-40secs
How to Be a Snowboarder Girl,Come to the mountain prepared,11-20secs
How to Be a Snowboarder Girl,Rent a pair of boots and a board at your local board shop if you've never snowboarded,21-30secs
How to Be a Snowboarder Girl,Push yourself to the ski-lift or bunny slope with your non-dominant foot,21-30secs
How to Form a Good Habit,Set your goal,31-40secs
How to Become a Better Nurse,Ask for help when you need it,1-10secs
How to Time Block,Identify your high priority tasks and projects,31-40secs
How to Avoid Sabotaging Your Job Search,Don't just sit at home letting events just happen,1-10secs
How to Avoid Autumn Weight Gain,Fill up on healthy foods first,31-40secs
How to Avoid Autumn Weight Gain,Savor what you love,11-20secs
How to Kill Spiders when You Have Arachnophobia,Vacuum the spider up,31-40secs
How to Become an Audio Visual Technician,Develop specialized areas of expertise as you progress in your career,1-10secs
How to Process Emotions when You Have Depression,Be objective,11-20secs
How to Tell an Ex Employer That Their Reference Letter Isn't Good Enough,Stay focused on a result not on resentment,1-10secs
How to Tell an Ex Employer That Their Reference Letter Isn't Good Enough,Try it out,41-50secs
How to Be a Good Nurse,React and think quickly,1-10secs
How to Gain Authority in the Workplace,Be confident in yourself,31-40secs
How to Look Good in a School Uniform (Girls),Experiment with what you can control like your hair and makeup,21-30secs
How to Calculate an Expected Value,Interpret the result,31-40secs
How to Get Up on Time,Identify the reasons why you need to get up in the morning,41-50secs
How to Be More Alert,Complete an aerobic workout,31-40secs
How to Decorate Your Desk,Have fun with Magnetic Poetry,21-30secs
How to Decorate Your Desk,Use a whiteboard,11-20secs
How to Decorate Your Desk,Enjoy your favourite scents,21-30secs
How to Decorate Your Desk,Create a vision board,11-20secs
How to Use Distraction As a Bipolar Coping Skill,Choose engaging distractions,1-10secs
How to Use Distraction As a Bipolar Coping Skill,Do something active,1-10secs
How to Use Distraction As a Bipolar Coping Skill,Get organized,11-20secs
How to Use Distraction As a Bipolar Coping Skill,Try journaling,11-20secs
How to Use Distraction As a Bipolar Coping Skill,Practice meditation,21-30secs
How to Use Your Imagination,Try prompts,51-60secs
How to Think Clearly,Consider your gut reaction,11-20secs
How to Treat PTSD,Understand why psychotherapy works for those suffering from PTSD,11-20secs
How to Treat PTSD,Try exposure therapy,21-30secs
How to Treat PTSD,Try cognitive restructuring,21-30secs
How to Treat PTSD,Go through stress inoculation training,1-10secs
How to Treat PTSD,Consider group therapy,41-50secs
How to Get the Vampire Look at School,Wear mostly black clothing in a Victorian style,1-10secs
How to Get the Vampire Look at School,Wear vampire accessories,21-30secs
How to Remember to Do Something Without Writing It,Find space,31-40secs
How to Remember to Do Something Without Writing It,Take regular breaks,11-20secs
How to Remember to Do Something Without Writing It,Check that you remember what you need to do,21-30secs
How to Remember to Do Something Without Writing It,Be invested,21-30secs
How to Remember to Do Something Without Writing It,Talk to someone,11-20secs
How to Remember to Do Something Without Writing It,Get sleep,1-10secs
How to Establish Boundaries During PTSD Recovery,Educate your family and friends,11-20secs
How to Get a Job That You Want,Practice for your interview,21-30secs
How to Get a Job That You Want,Take all interviews,1-10secs
How to Use Apps That Motivate You to Move,Use MyFitnessPal,1-10secs
How to Use Apps That Motivate You to Move,Try Nike Training Club,21-30secs
How to Start a Babysitting Agency,Don't Be Afraid to Charge More!,21-30secs
How to Quickly Multiply Single Digits by,Subtract the first digit of your answer from 9,1-10secs
How to Stop Feeling Stupid when You Have Anxiety,Get some perspective,11-20secs
How to Have a Better Life,Set realistic goals,1-10secs
How to Cope With Suicidal Thoughts as a Teen,Tell someone you trust,1-10secs
How to Cope With Suicidal Thoughts as a Teen,Learn about your treatment options,41-50secs
How to Cope With Suicidal Thoughts as a Teen,Create a safety plan,51-60secs
How to Find the Area of a Shape,Square the radius,31-40secs
How to Find the Area of a Shape,Divide the angle by 360,21-30secs
How to Get Help for Hypochondria,Join a support group,21-30secs
How to Make Yourself Less Thirsty,Cut out the coffee and cigarettes,11-20secs
How to Solve Differential Equations,Linear first-order equations,21-30secs
How to Achieve More with Bundled Goals,Rank the day's tasks,21-30secs
How to Achieve More with Bundled Goals,Start a routine,1-10secs
How to Achieve More with Bundled Goals,Track your progress,11-20secs
How to Become a Playgirl Model,Prioritize compound exercises,11-20secs
How to Keep Sodium Levels Up,Include naturally high sodium foods,1-10secs
How to Be a Playboy Bunny,Make a copy of your ID,51-60secs
How to Get Magnesium from Food,Eat lots of cooked fish,41-50secs
How to Watch Football (Soccer),Choose a team or league to follow to get invested in the scores,11-20secs
How to Accept a Bipolar Disorder Diagnosis,Remind yourself why treatment is important,31-40secs
How to Accept a Bipolar Disorder Diagnosis,Manage your symptoms,21-30secs
How to Solve Exponential Equations,Make sure that the exponential expression is isolated,1-10secs
How to Lose Your Fear of Antidepressants,Research the antidepressants,11-20secs
How to Safely Gain 10 Pounds in a Month,Start off slowly,11-20secs
How to Safely Gain 10 Pounds in a Month,Know why you want to make a change,21-30secs
How to Safely Gain 10 Pounds in a Month,Watch out for negative triggers,1-10secs
How to Safely Gain 10 Pounds in a Month,Get your family and friends involved,11-20secs
How to Safely Gain 10 Pounds in a Month,Work with a strength and nutrition coach,21-30secs
How to Calculate Magnification,Find the focal length of both lenses,11-20secs
How to Deal With Being a Male Victim of a Rape,Realize that this is not your fault,51-60secs
How to Deal With Being a Male Victim of a Rape,Use deep breathing to cope,41-50secs
How to Work as a Freelance Journalist,Sign up on freelance writing websites,1-10secs
How to Develop a Personal Development Program,Assign a time frame for goal achievement,11-20secs
How to Find Cubic Feet,Measure the length of the object,1-10secs
How to Babysit an Autistic Child,Get information from the parents,11-20secs
How to Make a Backyard Badminton Court,Decide where to make your badminton court,41-50secs
How to Overcome the Fear of Being Happy,Identify your self-defeating habits,21-30secs
How to Determine a Square and Circle of Equal Perimeter,Solve for s{\displaystyle s},21-30secs
How to Develop Healthy Eating Habits,Choose lean protein sources,1-10secs
How to Become a Disney Channel Actor/Singer,Have faith in yourself,31-40secs
How to Be Honest with Your Doctor,Refrain from being embarrassed with your doctor,1-10secs
How to Hunt for a Job After College,Network now,31-40secs
How to Read a Ruler,Learn the 1/2 inch marks,31-40secs
How to Read a Ruler,Learn the 1/8 of an inch marks,31-40secs
How to Read a Ruler,Learn the 1/16 of an inch marks,51-60secs
How to Have a Zen Attitude,Start the day off right,11-20secs
How to Make Tomorrow the Best Day of Your Life,Spend time with your loved ones,41-50secs
How to Make Someone's Day,Take printed pages to your co-workers,21-30secs
How to Disguise Your Voice,Change the tone of your voice,11-20secs
How to Knock Someone Out with One Hit,Put your left leg forward,11-20secs
How to Develop a Friendly Tone of Voice,Breathe from your diaphragm to control your voice,21-30secs
How to Develop a Friendly Tone of Voice,Vary your vocal pitch,21-30secs
How to Feel Refreshed,Stay hydrated,51-60secs
How to Pronounce Helicobacter Pylori,Follow with Bacter,21-30secs
How to Solve Systems Using Linear Combinations,Examine the equations in standard format,11-20secs
How to Win Friends and Influence People,Dress sharply,1-10secs
How to Make Paleo Tortillas,Flip the tortilla with a spatula,41-50secs
How to Speak Loudly and Confidently when You Always Hesitate While Speaking,Go over the talk you are to give,1-10secs
How to Make a Taco Salad,Chop your vegetables,1-10secs
How to Block People from Calling You on Your Home Phone,Get Anonymous Call Rejection from your telephone company,31-40secs
How to Make a Conference Call,Start the call,11-20secs
How to Clean a Golf Club,Mix warm water and mild dish soap in a medium or large bucket,21-30secs
How to Clean a Golf Club,Remove the clubheads after the allotted soaking time and begin scrubbing with a thick-bristle brush or a toothbrush,11-20secs
How to Transfer Files Using Teamviewer,Log into your Teamviewer account inside the program,21-30secs
How to Delete Segments of a Video File with Microsoft Movie Maker 20,Run the program,11-20secs
How to Improve Your Knowledge of English,Find some children's books,51-60secs
How to Use Assure Ensure and Insure,Accept insure used as ensure,11-20secs
How to Install Windows 10 Technical Preview with Virtualbox,Load the Windows 10 ISO file,1-10secs
How to Prevent Noise Pollution,Learn to meditate,11-20secs
How to Prevent Noise Pollution,Use earplugs and noise-canceling headphones,1-10secs
How to Prevent Noise Pollution,Install noise-reducing insulation and glass,21-30secs
How to Parent an Energetic Child,Set aside regular one-on-one time,11-20secs
How to Parent an Energetic Child,Let them help you,31-40secs
How to Parent an Energetic Child,Talk on their level,31-40secs
How to Parent an Energetic Child,Teach social and emotional skills,51-60secs
How to Parent an Energetic Child,Demonstrate how to relax,1-10secs
How to Parent an Energetic Child,Remain positive with your child,11-20secs
How to Reduce Your Greenhouse Gas Emissions,Buy goods that were locally made,1-10secs
How to Transition to a Raw Vegan,Do your research.Research where to buy raw organic produce and if there are any raw organic vegan restaurants in your local area,21-30secs
How to Sweeten Foods with Truvia Nectar,Layer the veggies on a baking sheet,11-20secs
How to Pick Up a Girl,Be yourself but be your best self,11-20secs
How to Hug a Guy,Start the hug with a gentle touch on the arm eye contact or a smile,11-20secs
How to Create Word Art,Search for an online word art generator,1-10secs
How to Comfort a Grieving Friend,Give your friend space,31-40secs
How to Get a Girl to Be Your Girlfriend,Have the right attitude,1-10secs
How to Set up a Computer Network,Determine the Size of Network,21-30secs
How to Set Up Voicemail,Press down the number 1 on your mobile phone,51-60secs
How to Set Up Voicemail,Press and hold the number 1 from your phone to access voicemail,1-10secs
